x,y,z,qw,qx,qy,qz
6.123233995736766e-17,6.123233995736766e-17,0.7,1.0,-1.5308084989341916e-16,7.654042494670958e-17,1.1716873302045765e-32
-0.003141587485879529,-0.003141571982779441,0.7000059217431589,0.999961447568255,0.007853803875008636,-0.003926822709079178,3.471749571231638e-05
-0.00628314396555872,-0.006283019941676073,0.7000236867388552,0.9998457987979357,0.015706541259528903,-0.007852636855454252,0.00013886035198175574
-0.009424638433144025,-0.009424219857704107,0.7000532942857572,0.9996530792604561,0.023557145979574923,-0.011776434300089816,0.00031239968104036255
-0.012566039883352653,-0.012565047721668785,0.70009474321501,0.9993833315637338,0.031404552494007594,-0.015697207751035024,0.0005552873527251826
-0.015707317311820523,-0.015705379539063997,0.7001480318902805,0.9990366153355326,0.0392476962105864,-0.01961395118634604,0.0008674560186396085
-0.01884843971540805,-0.018845091334967146,0.7002131582078233,0.9986130072001614,0.047085513801562645,-0.02352566027625876,0.0012488191459559934
-0.02198937609250523,-0.021984059158932576,0.7002901195965625,0.9981126007485356,0.054916943518667036,-0.027431332804365535,0.0016992710608340225
-0.025130095443337407,-0.025122159089884705,0.7003789130181948,0.9975355065016206,0.06274092550734502,-0.03132996908755034,0.0022186870014238385
-0.028270566770273207,-0.028259267241012218,0.7004795349673075,0.9968818518672787,0.07055640212009376,-0.03522057239443827,0.002806923180415363
-0.031410759078128056,-0.03139525976465645,0.7005919814715185,0.9961517810905437,0.07836231822873532,-0.039102149362105855,0.0034638168570887947
-0.03455064137447228,-0.034530012857202905,0.7007162480916325,0.9953454551973505,0.08615762153550034,-0.04297371041082016,0.004189186418814804
-0.037690182669934576,-0.037663402763966396,0.7008523299218159,0.9944630519317543,0.0939412628827514,-0.046834270156553254,0.004982831471944808
-0.040829351978509835,-0.04079530578407862,0.701000221589791,0.9935047656866726,0.1017121965612222,-0.05068284782104305,0.005844532942026658
-0.04396811831786477,-0.04392559827537146,0.7011599172570483,0.9924708074281904,0.10946938061661037,-0.05451846763915455,0.006774053183272871
-0.047106450709642776,-0.047054156659257274,0.701331410619076,0.9913614046134748,0.11721177715438327,-0.058340159263307274,0.007771136097204386
-0.05024431817976947,-0.050180857425607364,0.7015146949056099,0.9901768011023391,0.12493835264265712,-0.0621469581647376,0.008835507260381216
-0.05338168975876042,-0.05330557713762991,0.7017097628809004,0.9889172570625124,0.13264807821301086,-0.06593790603136677,0.009966874061132797
