0.000000,189428.000000,189431.000000,-0.137013,0.104888,-0.047642,-0.163537,0.000000,0.000000,0.000000,0.000000
0.009521,189428.000000,189431.000000,-0.137013,0.104888,-0.047642,-0.163537,0.000000,0.000000,0.000000,0.000000
0.020050,189438.000000,189441.000000,-0.129968,0.105182,-0.046123,-0.163307,0.000000,0.000000,0.000000,0.000000
0.029570,189448.000000,189451.000000,-0.110365,0.104239,-0.046817,-0.164605,0.000000,0.000000,0.000000,0.000000
0.040083,189458.000000,189461.000000,-0.088884,0.103061,-0.048614,-0.165024,0.000000,0.000000,0.000000,0.000000
0.049562,189468.000000,189471.000000,-0.075433,0.102871,-0.050772,-0.164490,0.000000,0.000000,0.000000,0.000000
0.060085,189478.000000,189481.000000,-0.080574,0.105499,-0.052987,-0.164853,0.000000,0.000000,0.000000,0.000000
0.069592,189488.000000,189491.000000,-0.096787,0.107732,-0.054575,-0.164361,0.000000,0.000000,0.000000,0.000000
0.080079,189498.000000,189501.000000,-0.110819,0.108957,-0.054772,-0.163521,0.000000,0.000000,0.000000,0.000000
0.089582,189508.000000,189510.984375,-0.113774,0.110225,-0.054114,-0.164344,0.000000,0.000000,0.000000,0.000000
0.100080,189518.000000,189521.000000,-0.106603,0.103946,-0.049972,-0.156206,0.000000,0.000000,0.000000,0.000000
0.109587,189528.000000,189531.000000,-0.096326,0.084645,-0.041061,-0.131152,0.000000,0.000000,0.000000,0.000000
0.120141,189538.000000,189541.000000,-0.088287,0.062820,-0.033840,-0.103003,0.000000,0.000000,0.000000,0.000000
0.129643,189548.000000,189551.000000,-0.085635,0.047506,-0.030495,-0.083297,0.000000,0.000000,0.000000,0.000000
0.140187,189558.000000,189561.000000,-0.093796,0.047855,-0.034628,-0.084889,0.000000,0.000000,0.000000,0.000000
0.149694,189567.984375,189571.000000,-0.105285,0.058207,-0.041979,-0.098827,0.000000,0.000000,0.000000,0.000000
0.160237,189578.000000,189581.000000,-0.111894,0.067607,-0.047908,-0.110804,0.000000,0.000000,0.000000,0.000000
0.169738,189588.000000,189591.000000,-0.109853,0.070911,-0.049101,-0.117761,0.000000,0.000000,0.000000,0.000000
0.180237,189598.000000,189601.000000,-0.102326,0.069140,-0.045422,-0.118430,0.000000,0.000000,0.000000,0.000000
0.189699,189608.000000,189611.000000,-0.095516,0.064568,-0.039922,-0.113601,0.000000,0.000000,0.000000,0.000000
0.200238,189618.000000,189621.000000,-0.093842,0.062397,-0.036104,-0.108512,0.000000,0.000000,0.000000,0.000000
0.209743,189628.000000,189631.000000,-0.097951,0.062229,-0.035100,-0.104603,0.000000,0.000000,0.000000,0.000000
0.220293,189638.000000,189641.000000,-0.104134,0.063758,-0.037429,-0.104444,0.000000,0.000000,0.000000,0.000000
0.229792,189648.000000,189651.000000,-0.108054,0.065871,-0.040679,-0.107706,0.000000,0.000000,0.000000,0.000000
0.240345,189658.000000,189661.000000,-0.107179,0.068347,-0.042084,-0.112145,0.000000,0.000000,0.000000,0.000000
0.249840,189668.000000,189671.000000,-0.101554,0.068341,-0.040988,-0.113433,0.000000,0.000000,0.000000,0.000000
0.260343,189678.000000,189680.984375,-0.096315,0.067177,-0.039540,-0.113444,0.000000,0.000000,0.000000,0.000000
0.269841,189688.000000,189691.000000,-0.098855,0.066222,-0.038875,-0.113412,0.000000,0.000000,0.000000,0.000000
0.280393,189698.000000,189701.000000,-0.107154,0.067663,-0.040845,-0.115893,0.000000,0.000000,0.000000,0.000000
0.289935,189708.000000,189712.000000,-0.112673,0.069536,-0.042999,-0.117530,0.000000,0.000000,0.000000,0.000000
0.300449,189718.000000,189721.000000,-0.112722,0.071479,-0.043104,-0.118536,0.000000,0.000000,0.000000,0.000000
0.309987,189728.000000,189732.000000,-0.104168,0.069367,-0.039643,-0.113317,0.000000,0.000000,0.000000,0.000000
0.319447,189737.984375,189741.000000,-0.101807,0.068337,-0.037930,-0.112454,0.000000,0.000000,0.000000,0.000000
0.330000,189748.000000,189751.000000,-0.103296,0.067517,-0.039064,-0.114345,0.000000,0.000000,0.000000,0.000000
0.339450,189758.000000,189761.000000,-0.104788,0.066170,-0.040886,-0.115132,0.000000,0.000000,0.000000,0.000000
0.350035,189768.000000,189771.000000,-0.103607,0.063466,-0.039873,-0.110829,0.000000,0.000000,0.000000,0.000000
0.359522,189778.000000,189781.000000,-0.097699,0.060289,-0.036530,-0.102215,0.000000,0.000000,0.000000,0.000000
0.370082,189788.000000,189791.000000,-0.096047,0.061189,-0.035693,-0.100159,0.000000,0.000000,0.000000,0.000000
0.379599,189798.000000,189801.000000,-0.099539,0.063719,-0.037525,-0.104048,0.000000,0.000000,0.000000,0.000000
