timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0,0.000000,0.000000,0,0
0.010063,1782129874313.832031,1782129874318.047119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,800,121.050000,24.800000,37,234
0.020055,1782129874325.832031,1782129874328.077393,1782129874327.621826,1782129874328.086182,-0.045000,0.015000,0.060000,0.076485,0.004800,-0.000800,0.001600,0.000000,7.000000,800,121.050000,24.800000,37,233
0.030053,1782129874337.832031,1782129874338.064453,1782129874337.710938,1782129874338.070801,0.060000,-0.090000,0.270000,0.290861,-0.006800,0.000000,-0.178000,0.000000,7.000000,800,121.050000,24.800000,37,123
0.040008,1782129874350.832275,1782129874348.058838,1782129874337.710938,1782129874338.070801,0.060000,-0.090000,0.270000,0.290861,-0.006800,0.000000,-0.178000,0.000000,7.000000,800,121.050000,24.800000,37,40
0.050049,1782129874361.832031,1782129874358.011230,1782129874357.743652,1782129874358.016602,-0.135000,0.255000,-0.630000,0.692929,-0.006400,-0.016400,-0.230000,0.000000,7.000000,800,121.050000,24.800000,37,22
0.060049,1782129874370.832275,1782129874368.036377,1782129874367.770996,1782129874368.039307,-0.135000,0.135000,-0.900000,0.920027,-0.010800,-0.013600,-0.221200,0.000000,7.000000,800,121.050000,24.800000,37,232
0.070049,1782129874370.832275,1782129874368.036377,1782129874367.770996,1782129874368.039307,-0.135000,0.135000,-0.900000,0.920027,-0.010800,-0.013600,-0.221200,0.000000,7.000000,800,121.050000,24.800000,37,232
0.080050,1782129874381.832031,1782129874388.039062,1782129874387.754150,1782129874388.036377,0.015000,-0.030000,-1.650000,1.650341,0.022000,-0.011200,-0.176400,0.000000,7.000000,800,121.050000,24.800000,37,181
0.090049,1782129874393.832031,1782129874398.039062,1782129874397.674072,1782129874398.041992,-0.060000,0.765000,-2.010000,2.151494,-0.062000,-0.026000,-0.149600,0.000000,7.000000,800,121.050000,24.800000,37,2
0.100049,1782129874405.832031,1782129874408.028564,1782129874407.754395,1782129874408.030029,-0.045000,1.005000,-2.310000,2.519554,-0.098800,-0.019200,-0.129600,0.000000,7.000000,800,121.050000,24.800000,37,99
0.110049,1782129874413.832031,1782129874418.034668,1782129874417.730225,1782129874418.037842,0.075000,0.555000,-2.730000,2.786853,-0.060800,-0.011200,-0.121600,0.000000,7.000000,800,121.050000,24.800000,37,74
0.120051,1782129874425.832031,1782129874428.033203,1782129874427.674316,1782129874428.040527,-0.060000,-0.225000,-2.910000,2.919302,0.000400,-0.017600,-0.104800,0.100000,7.000000,800,121.050000,24.800000,37,187
0.130050,1782129874433.832031,1782129874438.036865,1782129874427.674316,1782129874428.040527,-0.060000,-0.225000,-2.910000,2.919302,0.000400,-0.017600,-0.104800,0.100000,7.000000,800,121.050000,24.800000,37,233
0.140049,1782129874450.832275,1782129874448.031738,1782129874447.677246,1782129874448.034424,0.060000,-2.895000,-3.960000,4.905734,0.200400,0.039600,-0.082000,0.100000,7.000000,800,121.050000,24.800000,37,254
0.150049,1782129874457.832031,1782129874458.035400,1782129874457.673340,1782129874458.038330,0.060000,-2.280000,-4.170000,4.752989,0.146000,0.016800,-0.076000,0.100000,7.000000,800,121.050000,24.800000,37,95
0.160051,1782129874470.832275,1782129874468.028564,1782129874467.675049,1782129874468.030273,-0.075000,-1.470000,-4.140000,4.393874,0.094800,-0.016800,-0.073600,0.100000,7.000000,800,121.050000,24.800000,37,216
0.170040,1782129874473.832031,1782129874478.040527,1782129874477.675293,1782129874478.036865,-0.045000,-0.495000,-3.900000,3.931545,0.035200,-0.039600,-0.068400,0.100000,7.000000,800,121.050000,24.800000,37,127
0.180050,1782129874481.832031,1782129874488.028564,1782129874487.754883,1782129874488.031982,-0.105000,0.690000,-3.630000,3.696488,-0.030000,-0.050000,-0.068000,0.100000,7.000000,800,121.050000,24.800000,37,248
0.190110,1782129874493.832031,1782129874498.027832,1782129874497.772949,1782129874498.029541,-0.150000,1.440000,-3.600000,3.880219,-0.069200,-0.032800,-0.062800,0.100000,7.000000,800,121.050000,24.800000,37,194
0.200104,1782129874501.832031,1782129874508.098633,1782129874507.768799,1782129874508.102051,-0.045000,1.590000,-3.510000,3.853599,-0.089200,0.008000,-0.061600,0.100000,7.000000,800,121.050000,24.800000,37,222
0.210049,1782129874513.832031,1782129874518.089600,1782129874517.714600,1782129874518.092773,0.030000,1.215000,-3.510000,3.714462,-0.075600,0.043600,-0.062800,0.100000,7.000000,800,121.050000,24.800000,37,87
0.220049,1782129874521.832031,1782129874528.038574,1782129874517.714600,1782129874518.092773,0.030000,1.215000,-3.510000,3.714462,-0.075600,0.043600,-0.062800,4.200000,7.000000,800,121.050000,24.800000,37,26
0.230049,1782129874533.832031,1782129874538.028809,1782129874537.676025,1782129874538.031494,0.045000,-0.975000,-4.410000,4.516719,0.060000,0.037200,-0.058400,4.200000,7.000000,800,121.050000,24.800000,37,156
0.240050,1782129874545.832031,1782129874548.036865,1782129874547.781738,1782129874548.040283,0.000000,-1.245000,-4.500000,4.669050,0.070400,0.008000,-0.060000,4.200000,7.000000,7442,118.030000,24.480000,38,130
0.250049,1782129874557.832031,1782129874558.038086,1782129874557.675293,1782129874558.041504,-0.090000,-0.960000,-4.380000,4.484875,0.065600,-0.040000,-0.057200,4.200000,7.000000,7442,118.030000,24.480000,38,67
0.260048,1782129874570.832275,1782129874568.033936,1782129874567.674805,1782129874568.036621,-0.105000,-0.255000,-4.170000,4.179109,0.036400,-0.064400,-0.056000,4.200000,7.000000,7442,118.030000,24.480000,38,13
0.270049,1782129874581.832031,1782129874578.030273,1782129874577.676514,1782129874578.032715,-0.150000,0.345000,-3.690000,3.709127,0.008000,-0.046400,-0.058000,4.200000,7.000000,7442,118.030000,24.480000,38,150
0.280049,1782129874590.832275,1782129874588.031006,1782129874587.674316,1782129874588.033447,0.090000,0.345000,-3.690000,3.707186,0.006000,0.019200,-0.059600,4.200000,7.000000,7442,118.030000,24.480000,38,254
0.290050,1782129874590.832275,1782129874588.031006,1782129874597.715088,1782129874598.029053,0.015000,-0.030000,-3.840000,3.840146,0.010400,0.056000,-0.057200,4.200000,7.000000,7442,118.030000,24.480000,38,254
0.300048,1782129874601.832031,1782129874608.036133,1782129874607.674316,1782129874608.039062,-0.015000,-0.660000,-4.020000,4.073846,0.032000,0.050400,-0.057200,4.200000,7.000000,7442,118.030000,24.480000,38,51
0.310057,1782129874613.832031,1782129874618.030762,1782129874607.674316,1782129874608.039062,-0.015000,-0.660000,-4.020000,4.073846,0.032000,0.050400,-0.057200,4.200000,7.000000,7442,118.030000,24.480000,38,182
0.320049,1782129874621.832031,1782129874628.042969,1782129874627.715576,1782129874628.048340,-0.075000,-0.465000,-4.290000,4.315779,0.010400,-0.018000,-0.056400,4.200000,7.000000,7442,118.030000,24.480000,38,211
0.330050,1782129874633.832031,1782129874638.035889,1782129874637.678711,1782129874638.039062,-0.105000,-0.015000,-4.380000,4.381284,-0.000800,-0.057200,-0.055600,4.200000,7.000000,7442,118.030000,24.480000,38,39
0.340120,1782129874645.832031,1782129874648.036621,1782129874647.747803,1782129874648.039795,-0.135000,0.705000,-3.870000,3.936007,-0.026800,-0.056800,-0.057600,4.200000,7.000000,7442,118.030000,24.480000,38,116
0.350111,1782129874653.832031,1782129874658.106689,1782129874657.688477,1782129874658.109863,-0.030000,0.795000,-3.780000,3.862813,-0.030800,-0.018800,-0.057200,4.200000,7.000000,7442,118.030000,24.480000,38,35
0.360111,1782129874665.832031,1782129874668.096924,1782129874667.674316,1782129874668.100098,0.000000,0.390000,-3.720000,3.740388,-0.008800,0.032000,-0.056800,4.200000,7.000000,7442,118.030000,24.480000,38,218
0.370110,1782129874677.832031,1782129874678.096680,1782129874677.675049,1782129874678.099609,-0.090000,-0.420000,-3.990000,4.013054,0.028800,0.046800,-0.054800,4.200000,7.000000,7442,118.030000,24.480000,38,201
0.380112,1782129874690.832275,1782129874688.096924,1782129874687.686523,1782129874688.100098,0.105000,-0.975000,-4.320000,4.429904,0.050800,0.042400,-0.055200,4.200000,7.000000,7442,118.030000,24.480000,38,194
0.390112,1782129874701.832031,1782129874698.182373,1782129874697.677002,1782129874698.185547,-0.090000,-0.960000,-4.410000,4.514178,0.052000,-0.016000,-0.056000,4.200000,7.000000,7442,118.030000,24.480000,38,180
0.400118,1782129874710.832275,1782129874708.099854,1782129874697.677002,1782129874698.185547,-0.090000,-0.960000,-4.410000,4.514178,0.052000,-0.016000,-0.056000,4.200000,7.000000,7442,118.030000,24.480000,38,28
0.410127,1782129874721.832031,1782129874718.104492,1782129874717.676270,1782129874718.107910,-0.105000,0.315000,-3.930000,3.944002,-0.003600,-0.064800,-0.055600,4.200000,7.000000,7442,118.030000,24.480000,38,53
0.420150,1782129874730.832275,1782129874728.121582,1782129874727.702637,1782129874728.124512,-0.135000,0.810000,-3.780000,3.868168,-0.030000,-0.039600,-0.056400,5.600000,7.000000,7442,118.030000,24.480000,38,63
0.430115,1782129874730.832275,1782129874728.121582,1782129874737.791748,1782129874738.136963,-0.075000,0.810000,-3.780000,3.866539,-0.032000,0.017600,-0.055200,5.600000,7.000000,7442,118.030000,24.480000,38,63
0.440132,1782129874741.832031,1782129874748.101807,1782129874747.722412,1782129874748.105225,-0.045000,0.270000,-3.690000,3.700139,-0.016400,0.050800,-0.033200,5.600000,7.000000,7500,119.000000,24.590000,38,75
0.450141,1782129874753.832031,1782129874758.119141,1782129874757.715576,1782129874758.121826,0.000000,-0.450000,-3.930000,3.955679,0.019600,0.050000,-0.034400,5.600000,7.000000,7500,119.000000,24.590000,38,43
0.460106,1782129874765.832031,1782129874768.129150,1782129874767.697021,1782129874768.132568,0.090000,-0.795000,-4.290000,4.363969,0.034400,0.026400,-0.037600,5.600000,7.000000,7500,119.000000,24.590000,38,242
0.470104,1782129874773.832031,1782129874778.093750,1782129874777.674316,1782129874778.096924,-0.105000,-0.840000,-3.930000,4.020140,0.038800,-0.022000,-0.037600,5.600000,7.000000,7500,119.000000,24.590000,38,50
0.480115,1782129874790.832275,1782129874788.091309,1782129874787.674316,1782129874788.094727,-0.015000,-0.420000,-3.870000,3.892753,0.028400,-0.043200,-0.038000,5.600000,7.000000,117014,51.800000,0.080000,94,0
0.490102,1782129874801.832031,1782129874798.102295,1782129874787.674316,1782129874788.094727,-0.015000,-0.420000,-3.870000,3.892753,0.028400,-0.043200,-0.038000,5.600000,7.000000,117014,51.800000,0.080000,94,126
0.500111,1782129874810.832275,1782129874808.089355,1782129874807.675049,1782129874808.092529,-0.045000,-0.045000,-3.660000,3.660553,0.003200,-0.051200,-0.045200,5.600000,7.000000,117014,51.800000,0.080000,94,216
0.510111,1782129874821.832031,1782129874818.097900,1782129874817.674316,1782129874818.100830,-0.045000,0.435000,-3.300000,3.328851,-0.028000,-0.055200,-0.049600,5.600000,7.000000,117014,51.800000,0.080000,94,71
0.520108,1782129874830.832275,1782129874828.105469,1782129874827.681885,1782129874828.108154,-0.075000,0.885000,-3.240000,3.359531,-0.048000,-0.045600,-0.048800,5.600000,7.000000,117014,51.800000,0.080000,94,249
0.530050,1782129874841.832031,1782129874838.096191,1782129874837.671875,1782129874838.099365,-0.135000,1.140000,-3.030000,3.240174,-0.052000,-0.033200,-0.046400,5.600000,7.000000,117014,51.800000,0.080000,94,52
0.540049,1782129874850.832275,1782129874848.038818,1782129874847.681152,1782129874848.035645,-0.120000,1.140000,-2.970000,3.183536,-0.054800,-0.013200,-0.046400,5.600000,7.000000,117014,51.800000,0.080000,94,190
0.550049,1782129874853.832031,1782129874858.033447,1782129874857.808350,1782129874858.036377,0.015000,1.095000,-3.030000,3.221824,-0.055600,0.018400,-0.047200,5.600000,7.000000,117014,51.800000,0.080000,94,243
0.560049,1782129874861.832031,1782129874868.032959,1782129874867.749512,1782129874868.036133,-0.015000,0.795000,-3.240000,3.336143,-0.045600,0.036400,-0.050400,5.600000,7.000000,117014,51.800000,0.080000,94,129
0.570049,1782129874873.832031,1782129874878.032471,1782129874877.675293,1782129874878.035400,-0.015000,0.390000,-3.420000,3.442198,-0.027200,0.048800,-0.049600,5.600000,7.000000,117014,51.800000,0.080000,94,106
0.580048,1782129874885.832031,1782129874888.031250,1782129874877.675293,1782129874878.035400,-0.015000,0.390000,-3.420000,3.442198,-0.027200,0.048800,-0.049600,5.600000,7.000000,117014,51.800000,0.080000,94,235
0.590049,1782129874897.832031,1782129874898.035400,1782129874897.731934,1782129874898.038086,-0.060000,0.525000,-3.330000,3.371665,-0.029600,0.040000,-0.048800,5.600000,7.000000,117014,51.800000,0.080000,94,225
0.600050,1782129874910.832275,1782129874908.036865,1782129874907.671631,1782129874908.039795,-0.045000,0.045000,-3.390000,3.390597,0.006400,0.046800,-0.050400,5.600000,7.000000,117014,51.800000,0.080000,94,39
0.610051,1782129874917.832031,1782129874918.047363,1782129874917.675049,1782129874918.052002,-0.015000,-0.435000,-3.330000,3.358325,0.027600,0.052000,-0.050400,5.600000,7.000000,117014,51.800000,0.080000,94,194
