0.000000,-0.000053,-0.000091,0.000061,-0.000080,0.000001,0.000001,0.000001,0.000001
0.004947,-0.000053,-0.000091,0.000061,-0.000080,0.023313,0.023313,0.023313,0.023313
0.009934,-0.000053,-0.000091,0.000061,-0.000080,0.046810,0.046810,0.046810,0.046810
0.014923,-0.000001,-0.000002,0.000130,-0.000050,0.070316,0.070316,0.070316,0.070316
0.019897,-0.000001,-0.000002,0.000130,-0.000050,0.093748,0.093748,0.093748,0.093748
0.024876,0.000880,0.000905,0.001058,0.000854,0.117196,0.117196,0.117196,0.117196
0.029814,0.000880,0.000905,0.001058,0.000854,0.140442,0.140442,0.140442,0.140442
0.034789,0.000880,0.000905,0.001058,0.000854,0.163860,0.163860,0.163860,0.163860
0.039769,0.003748,0.003845,0.003999,0.003732,0.187285,0.187285,0.187285,0.187285
0.044707,0.003748,0.003845,0.003999,0.003732,0.210503,0.210503,0.210503,0.210503
0.050236,0.009611,0.009758,0.009954,0.009650,0.236485,0.236485,0.236485,0.236485
0.055212,0.019406,0.019653,0.019857,0.019470,0.259855,0.259855,0.259855,0.259855
0.060156,0.019406,0.019653,0.019857,0.019470,0.283056,0.283056,0.283056,0.283056
0.065132,0.033642,0.033943,0.034211,0.033789,0.306392,0.306392,0.306392,0.306392
0.070106,0.033642,0.033943,0.034211,0.033789,0.329702,0.329702,0.329702,0.329702
0.075051,0.052270,0.052654,0.052961,0.052474,0.352850,0.352850,0.352850,0.352850
0.080027,0.052270,0.052654,0.052961,0.052474,0.376126,0.376126,0.376126,0.376126
0.085005,0.075348,0.075779,0.076157,0.075644,0.399388,0.399388,0.399388,0.399388
0.089946,0.075348,0.075779,0.076157,0.075644,0.422450,0.422450,0.422450,0.422450
0.094922,0.102796,0.103300,0.103719,0.103151,0.445655,0.445655,0.445655,0.445655
0.099896,0.102796,0.103300,0.103719,0.103151,0.468818,0.468818,0.468818,0.468818
0.104875,0.133055,0.133395,0.133851,0.133345,0.491982,0.491982,0.491982,0.491982
0.109813,0.133055,0.133395,0.133851,0.133345,0.514921,0.514921,0.514921,0.514921
0.114788,0.133055,0.133395,0.133851,0.133345,0.538001,0.538001,0.538001,0.538001
0.119777,0.163349,0.163677,0.164169,0.163607,0.561111,0.561111,0.561111,0.561111
0.125261,0.163349,0.163677,0.164169,0.163607,0.586477,0.586477,0.586477,0.586477
0.130243,0.193676,0.194040,0.194469,0.193940,0.609482,0.609482,0.609482,0.609482
0.135216,0.223960,0.224314,0.224726,0.224250,0.632413,0.632413,0.632413,0.632413
0.140157,0.223960,0.224314,0.224726,0.224250,0.655153,0.655153,0.655153,0.655153
0.145155,0.254248,0.254596,0.255032,0.254545,0.678115,0.678115,0.678115,0.678115
0.150135,0.254248,0.254596,0.255032,0.254545,0.700955,0.700955,0.700955,0.700955
0.155115,0.284603,0.284939,0.285359,0.284873,0.723753,0.723753,0.723753,0.723753
0.160068,0.284603,0.284939,0.285359,0.284873,0.746382,0.746382,0.746382,0.746382
0.165025,0.314960,0.315297,0.315668,0.315238,0.768984,0.768984,0.768984,0.768984
0.169946,0.314960,0.315297,0.315668,0.315238,0.791375,0.791375,0.791375,0.791375
0.174927,0.345275,0.345669,0.346081,0.345526,0.813991,0.813991,0.813991,0.813991
0.179912,0.345275,0.345669,0.346081,0.345526,0.836574,0.836574,0.836574,0.836574
0.184892,0.345275,0.345669,0.346081,0.345526,0.859085,0.859085,0.859085,0.859085
0.189873,0.375676,0.375943,0.376416,0.375789,0.881547,0.881547,0.881547,0.881547
0.195364,0.375676,0.375943,0.376416,0.375789,0.906251,0.906251,0.906251,0.906251
0.200340,0.406130,0.406193,0.406828,0.406202,0.928575,0.928575,0.928575,0.928575
0.205317,0.436505,0.436639,0.437165,0.436572,0.950847,0.950847,0.950847,0.950847
0.210260,0.436505,0.436639,0.437165,0.436572,0.972909,0.972909,0.972909,0.972909
0.215234,0.466935,0.466997,0.467586,0.466804,0.995054,0.995054,0.995054,0.995054
0.220208,0.466935,0.466997,0.467586,0.466804,1.017137,1.017137,1.017137,1.017137
0.225157,0.497372,0.497492,0.497986,0.497238,1.039044,1.039044,1.039044,1.039044
0.230134,0.497372,0.497492,0.497986,0.497238,1.061016,1.061016,1.061016,1.061016
0.235128,0.527780,0.527859,0.528379,0.527702,1.082997,1.082997,1.082997,1.082997
0.240107,0.527780,0.527859,0.528379,0.527702,1.104841,1.104841,1.104841,1.104841
0.245091,0.558171,0.558349,0.558724,0.558096,1.126642,1.126642,1.126642,1.126642
0.250051,0.558171,0.558349,0.558724,0.558096,1.148273,1.148273,1.148273,1.148273
0.255005,0.588705,0.588673,0.589037,0.588607,1.169806,1.169806,1.169806,1.169806
0.259948,0.588705,0.588673,0.589037,0.588607,1.191218,1.191218,1.191218,1.191218
0.264924,0.588705,0.588673,0.589037,0.588607,1.212702,1.212702,1.212702,1.212702
0.269949,0.619229,0.619109,0.619474,0.618935,1.234323,1.234323,1.234323,1.234323
0.274950,0.619229,0.619109,0.619474,0.618935,1.255763,1.255763,1.255763,1.255763
0.279947,0.649699,0.649759,0.649895,0.649371,1.277111,1.277111,1.277111,1.277111
0.284944,0.649699,0.649759,0.649895,0.649371,1.298379,1.298379,1.298379,1.298379
0.289948,0.680348,0.680111,0.680304,0.679911,1.319596,1.319596,1.319596,1.319596
0.294935,0.680348,0.680111,0.680304,0.679911,1.340660,1.340660,1.340660,1.340660
0.299942,0.710707,0.710669,0.710725,0.710243,1.361728,1.361728,1.361728,1.361728
0.304937,0.710707,0.710669,0.710725,0.710243,1.382659,1.382659,1.382659,1.382659
0.309933,0.741239,0.740895,0.741110,0.740781,1.403509,1.403509,1.403509,1.403509
0.314915,0.741239,0.740895,0.741110,0.740781,1.424215,1.424215,1.424215,1.424215
0.319908,0.771678,0.771321,0.771697,0.771321,1.444882,1.444882,1.444882,1.444882
0.324902,0.771678,0.771321,0.771697,0.771321,1.465459,1.465459,1.465459,1.465459
0.329896,0.802033,0.801862,0.802190,0.801699,1.485951,1.485951,1.485951,1.485951
0.334947,0.832336,0.832463,0.832567,0.832116,1.506580,1.506580,1.506580,1.506580
0.339934,0.832336,0.832463,0.832567,0.832116,1.526857,1.526857,1.526857,1.526857
0.344924,0.832336,0.832463,0.832567,0.832116,1.547051,1.547051,1.547051,1.547051
0.349929,0.862850,0.863099,0.863013,0.862564,1.567211,1.567211,1.567211,1.567211
0.354915,0.862850,0.863099,0.863013,0.862564,1.587196,1.587196,1.587196,1.587196
0.359904,0.893371,0.893884,0.893573,0.892989,1.607098,1.607098,1.607098,1.607098
0.364886,0.893371,0.893884,0.893573,0.892989,1.626875,1.626875,1.626875,1.626875
0.369881,0.924081,0.924546,0.924158,0.923503,1.646601,1.646601,1.646601,1.646601
0.375419,0.924081,0.924546,0.924158,0.923503,1.668350,1.668350,1.668350,1.668350
0.380363,0.954822,0.955108,0.955070,0.953934,1.687666,1.687666,1.687666,1.687666
0.385347,0.985207,0.985681,0.985556,0.984526,1.707032,1.707032,1.707032,1.707032
0.390339,0.985207,0.985681,0.985556,0.984526,1.726322,1.726322,1.726322,1.726322
0.395326,1.015715,1.016128,1.016212,1.015265,1.745489,1.745489,1.745489,1.745489
0.400262,1.015715,1.016128,1.016212,1.015265,1.764356,1.764356,1.764356,1.764356
0.405254,1.046318,1.046666,1.046667,1.045690,1.783325,1.783325,1.783325,1.783325
0.410230,1.046318,1.046666,1.046667,1.045690,1.802126,1.802126,1.802126,1.802126
0.415155,1.046318,1.046666,1.046667,1.045690,1.820629,1.820629,1.820629,1.820629
0.420135,1.076755,1.077321,1.077053,1.076206,1.839223,1.839223,1.839223,1.839223
0.425110,1.076755,1.077321,1.077053,1.076206,1.857690,1.857690,1.857690,1.857690
0.430052,1.107309,1.107807,1.107522,1.106693,1.875917,1.875917,1.875917,1.875917
0.435026,1.107309,1.107807,1.107522,1.106693,1.894155,1.894155,1.894155,1.894155
0.440005,1.137692,1.138437,1.138413,1.137306,1.912289,1.912289,1.912289,1.912289
0.444948,1.137692,1.138437,1.138413,1.137306,1.930178,1.930178,1.930178,1.930178
0.449928,1.168526,1.169224,1.168837,1.167920,1.948088,1.948088,1.948088,1.948088
0.454911,1.168526,1.169224,1.168837,1.167920,1.965883,1.965883,1.965883,1.965883
0.459895,1.199211,1.200175,1.199712,1.198686,1.983563,1.983563,1.983563,1.983563
0.464880,1.199211,1.200175,1.199712,1.198686,2.001128,2.001128,2.001128,2.001128
0.470331,1.229896,1.230798,1.230451,1.229472,2.020189,2.020189,2.020189,2.020189
0.475321,1.260595,1.261434,1.261127,1.260046,2.037514,2.037514,2.037514,2.037514
0.480264,1.260595,1.261434,1.261127,1.260046,2.054546,2.054546,2.054546,2.054546
0.485239,1.260595,1.261434,1.261127,1.260046,2.071569,2.071569,2.071569,2.071569
0.490229,1.291175,1.291987,1.291669,1.290911,2.088512,2.088512,2.088512,2.088512
0.495210,1.291175,1.291987,1.291669,1.290911,2.105300,2.105300,2.105300,2.105300
0.500163,1.321717,1.322795,1.322379,1.321984,2.121863,2.121863,2.121863,2.121863
0.505160,1.352186,1.353735,1.352997,1.352954,2.138443,2.138443,2.138443,2.138443
0.510142,1.352186,1.353735,1.352997,1.352954,2.154846,2.154846,2.154846,2.154846
0.515132,1.383232,1.384621,1.383554,1.383760,2.171137,2.171137,2.171137,2.171137
0.520106,1.383232,1.384621,1.383554,1.383760,2.187249,2.187249,2.187249,2.187249
