timestep,esc_msg_time_ms,esc_receive_time_ms,force_msg_time_ms,force_receive_time_ms,force_x,force_y,force_z,force_norm,torque_x,torque_y,torque_z,power_current,rotor0_target_thrust,rotor0_rpm,rotor0_esc_current,rotor0_esc_voltage,rotor0_temperature,rotor0_crc_error
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0,0.000000,0.000000,0,0
0.010067,1782129731181.676514,1782129731181.103760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,857,121.250000,24.810000,37,175
0.020060,1782129731190.676758,1782129731191.157227,1782129731190.644043,1782129731191.149170,-0.030000,0.030000,0.090000,0.099499,-0.001200,-0.001600,-0.003600,0.000000,5.000000,857,121.250000,24.810000,37,227
0.030056,1782129731201.676514,1782129731201.166016,1782129731200.667480,1782129731201.176025,0.060000,0.225000,0.060000,0.240468,-0.036400,0.003600,-0.140800,0.000000,5.000000,857,121.250000,24.810000,37,250
0.040062,1782129731213.676514,1782129731211.145508,1782129731210.658203,1782129731211.154297,-0.060000,0.000000,0.300000,0.305941,-0.044400,0.004000,-0.148400,0.000000,5.000000,857,121.250000,24.810000,37,247
0.050056,1782129731221.676514,1782129731221.163574,1782129731220.661621,1782129731221.173584,-0.030000,0.105000,-0.090000,0.141510,-0.028800,0.000400,-0.126800,0.000000,5.000000,857,121.250000,24.810000,37,210
0.060059,1782129731233.676514,1782129731231.139404,1782129731220.661621,1782129731221.173584,-0.030000,0.105000,-0.090000,0.141510,-0.028800,0.000400,-0.126800,0.000000,5.000000,857,121.250000,24.810000,37,176
0.070154,1782129731239.305664,1782129731241.164551,1782129731240.655029,1782129731241.174072,0.015000,0.045000,-0.360000,0.363112,-0.025600,0.005600,-0.077200,0.000000,5.000000,857,121.250000,24.810000,37,202
0.080126,1782129731247.305664,1782129731251.254395,1782129731250.656006,1782129731251.246094,-0.015000,-0.075000,-0.420000,0.426907,-0.001600,0.001600,-0.061200,0.000000,5.000000,857,121.250000,24.810000,37,151
0.090269,1782129731247.305664,1782129731251.254395,1782129731260.660156,1782129731261.224365,-0.150000,0.105000,-0.690000,0.713880,-0.007200,-0.004800,-0.046000,0.000000,5.000000,857,121.250000,24.810000,37,151
0.100061,1782129731264.305908,1782129731271.367920,1782129731270.658691,1782129731271.375977,-0.120000,-0.090000,-0.720000,0.735459,0.024400,-0.007200,-0.034800,0.000000,5.000000,857,121.250000,24.810000,37,168
0.110056,1782129731271.305664,1782129731281.159668,1782129731280.664795,1782129731281.173828,0.015000,0.045000,-0.600000,0.601872,-0.005200,0.004000,-0.031200,0.000000,5.000000,857,121.250000,24.810000,37,117
0.120054,1782129731284.305908,1782129731291.142334,1782129731290.656738,1782129731291.150391,0.060000,-0.090000,-0.630000,0.639218,0.014400,0.009600,-0.031600,0.000000,5.000000,857,121.250000,24.810000,37,79
0.130059,1782129731295.305664,1782129731301.124756,1782129731300.656006,1782129731301.131348,-0.075000,0.045000,-0.750000,0.755083,-0.021200,-0.002800,-0.036400,0.000000,5.000000,857,121.250000,24.810000,37,134
0.140125,1782129731304.305908,1782129731311.144043,1782129731310.654785,1782129731311.151855,-0.075000,-0.120000,-0.720000,0.733774,0.014000,0.001600,-0.034400,0.000000,5.000000,857,121.250000,24.810000,37,167
0.150063,1782129731315.305664,1782129731321.222900,1782129731310.654785,1782129731311.151855,-0.075000,-0.120000,-0.720000,0.733774,0.014000,0.001600,-0.034400,0.000000,5.000000,857,121.250000,24.810000,37,34
0.160150,1782129731327.305664,1782129731331.147949,1782129731330.654541,1782129731331.155273,-0.090000,0.060000,-0.870000,0.876698,-0.013200,-0.008000,-0.026800,0.000000,5.000000,857,121.250000,24.810000,37,237
0.170057,1782129731335.305664,1782129731341.247803,1782129731340.654053,1782129731341.257568,-0.015000,-0.015000,-0.780000,0.780288,0.001600,0.014000,-0.026400,0.000000,5.000000,3728,118.920000,24.750000,37,66
0.180132,1782129731347.305664,1782129731351.139648,1782129731350.656738,1782129731351.147461,0.045000,0.000000,-0.840000,0.841204,0.008800,-0.006800,-0.024400,0.000000,5.000000,3728,118.920000,24.750000,37,202
0.190126,1782129731347.305664,1782129731351.139648,1782129731360.654297,1782129731361.248779,-0.105000,0.090000,-0.810000,0.821721,-0.010800,-0.001200,-0.024000,0.000000,5.000000,3728,118.920000,24.750000,37,202
0.200102,1782129731359.305664,1782129731371.224609,1782129731370.654297,1782129731371.234131,-0.090000,-0.165000,-0.870000,0.890070,0.024000,-0.003200,-0.023200,0.000000,5.000000,3728,118.920000,24.750000,37,237
0.210063,1782129731371.305664,1782129731381.187012,1782129731380.655029,1782129731381.202148,-0.030000,0.135000,-0.870000,0.880923,-0.019200,0.002800,-0.024000,1.800000,5.000000,3728,118.920000,24.750000,37,34
0.220063,1782129731379.305664,1782129731391.147705,1782129731390.653320,1782129731391.155273,-0.030000,-0.105000,-0.900000,0.906601,0.008000,0.006800,-0.024000,1.800000,5.000000,3728,118.920000,24.750000,37,170
0.230136,1782129731391.305664,1782129731401.148193,1782129731400.653076,1782129731401.155518,-0.045000,0.015000,-0.840000,0.841338,-0.002000,-0.012400,-0.022800,1.800000,5.000000,3728,118.920000,24.750000,37,110
0.240155,1782129731404.305908,1782129731411.232666,1782129731400.653076,1782129731401.155518,-0.045000,0.015000,-0.840000,0.841338,-0.002000,-0.012400,-0.022800,1.800000,5.000000,3728,118.920000,24.750000,37,81
0.250116,1782129731415.305664,1782129731421.252197,1782129731420.654541,1782129731421.261719,-0.030000,0.270000,-1.140000,1.171921,-0.038000,0.001600,-0.087200,1.800000,5.000000,3728,118.920000,24.750000,37,112
0.260127,1782129731424.305908,1782129731431.214600,1782129731430.654785,1782129731431.223877,-0.165000,-0.120000,-1.140000,1.158113,0.012800,0.002400,-0.070400,1.800000,5.000000,3728,118.920000,24.750000,37,122
0.270115,1782129731435.305664,1782129731441.219727,1782129731440.655029,1782129731441.227539,-0.120000,-0.195000,-1.410000,1.428469,0.025600,-0.022400,-0.058800,1.800000,5.000000,4457,119.960000,24.480000,37,177
0.280116,1782129731447.305664,1782129731451.212891,1782129731450.656494,1782129731451.222168,0.015000,0.270000,-1.350000,1.376817,-0.030400,-0.009600,-0.053200,1.800000,5.000000,4457,119.960000,24.480000,37,95
0.290056,1782129731455.305664,1782129731461.212891,1782129731460.655029,1782129731461.222656,0.015000,0.105000,-1.530000,1.533672,-0.018000,0.018400,-0.049200,1.800000,5.000000,4457,119.960000,24.480000,37,49
0.300131,1782129731467.305664,1782129731471.147461,1782129731470.656494,1782129731471.138916,-0.075000,-0.375000,-1.650000,1.693738,0.046400,0.007600,-0.047600,1.800000,5.000000,4457,119.960000,24.480000,37,35
0.310054,1782129731467.305664,1782129731471.147461,1782129731480.656006,1782129731481.236816,-0.075000,-0.135000,-1.500000,1.507929,0.022000,-0.016400,-0.039200,1.800000,5.000000,4457,119.960000,24.480000,37,35
0.320123,1782129731487.305664,1782129731491.137939,1782129731490.654297,1782129731491.145020,-0.030000,0.450000,-1.620000,1.681606,-0.044800,-0.014400,-0.038800,1.800000,5.000000,4457,119.960000,24.480000,37,173
0.330113,1782129731487.305664,1782129731491.137939,1782129731490.654297,1782129731491.145020,-0.030000,0.450000,-1.620000,1.681606,-0.044800,-0.014400,-0.038800,1.800000,5.000000,4457,119.960000,24.480000,37,173
0.340055,1782129731504.305908,1782129731511.197754,1782129731510.653809,1782129731511.207031,-0.120000,-0.165000,-1.710000,1.722128,0.018000,-0.023600,-0.038800,1.800000,5.000000,5057,120.080000,24.670000,37,210
0.350055,1782129731511.305664,1782129731521.137695,1782129731520.654297,1782129731521.144775,0.030000,0.540000,-1.680000,1.764908,-0.056400,-0.011200,-0.035600,1.800000,5.000000,5057,120.080000,24.670000,37,122
0.360135,1782129731524.305908,1782129731531.137451,1782129731530.652832,1782129731531.145996,0.000000,0.480000,-1.770000,1.833930,-0.052400,0.011600,-0.034000,1.800000,5.000000,5057,120.080000,24.670000,37,124
0.370156,1782129731535.305664,1782129731541.232666,1782129731540.653564,1782129731541.241943,-0.090000,-0.315000,-1.860000,1.888630,0.029600,0.014000,-0.034800,1.800000,5.000000,5057,120.080000,24.670000,37,19
0.380102,1782129731544.305908,1782129731551.252686,1782129731550.656250,1782129731551.260254,-0.045000,-0.705000,-1.710000,1.850176,0.076400,-0.000400,-0.031200,1.800000,5.000000,5057,120.080000,24.670000,37,11
0.390055,1782129731555.305664,1782129731561.271484,1782129731560.654541,1782129731561.281738,-0.045000,-0.150000,-1.890000,1.896477,0.025600,-0.022800,-0.028800,1.800000,5.000000,5057,120.080000,24.670000,37,237
0.400056,1782129731567.305664,1782129731571.136230,1782129731570.653564,1782129731571.143799,-0.075000,0.600000,-1.680000,1.785504,-0.060400,-0.018400,-0.030800,1.800000,5.000000,5057,120.080000,24.670000,37,250
0.410057,1782129731579.305664,1782129731581.145020,1782129731580.654297,1782129731581.152832,-0.075000,0.645000,-1.860000,1.970089,-0.069200,0.008800,-0.034800,1.300000,5.000000,5057,120.080000,24.670000,37,215
0.420114,1782129731587.305664,1782129731591.138184,1782129731580.654297,1782129731581.152832,-0.075000,0.645000,-1.860000,1.970089,-0.069200,0.008800,-0.034800,1.300000,5.000000,5057,120.080000,24.670000,37,218
0.430057,1782129731587.305664,1782129731591.138184,1782129731600.656982,1782129731601.200439,-0.060000,0.360000,-1.980000,2.013355,-0.018400,-0.022800,-0.031200,1.300000,5.000000,5057,120.080000,24.670000,37,218
0.440133,1782129731599.305664,1782129731611.148926,1782129731610.657227,1782129731611.157715,-0.015000,0.795000,-1.770000,1.940399,-0.080400,-0.006800,-0.032000,1.300000,5.000000,5057,120.080000,24.670000,37,111
